id,n,developer,publisher,release_year,price,rating,review_count,owners,genre_list,tag_list,cat_list
254480,Obscure II (Obscure: The Aftermath),Hydravision Entertainment,Mighty Rocket Studio,2014,6.99,79.9,329,75000,"['Action', 'Adventure']","['Horror', 'Action', 'Survival Horror']",['Single-player']
254590,Theme Park Studio,Pantera Entertainment,Pantera Entertainment,2016,22.99,47.6,466,10000,"['Indie', 'Simulation']","['Simulation', 'Indie', 'Sandbox']",['Single-player']
254700,resident evil 4 / biohazard 4,Capcom,Capcom,2014,14.99,83.8,13432,750000,"['Action', 'Adventure']","['Inventory Management', 'Survival Horror', 'Action']",['Single-player']
254840,Ground Control II: Operation Exodus,Massive Entertainment,Rebellion,2015,3.99,84.6,117,35000,['Strategy'],"['Strategy', 'RTS', 'Sci-fi']","['Single-player', 'Multi-player', 'Co-op']"
254880,MoonBase Commander,Humongous Entertainment,Rebellion,2014,4.79,91.0,111,35000,['Strategy'],"['Strategy', 'Turn-Based Strategy', 'Sci-fi']","['Single-player', 'Multi-player']"
254960,Silent Storm Gold Edition,Nival,THQ Nordic,2013,8.99,89.8,637,350000,"['Action', 'RPG', 'Strategy']","['Strategy', 'Turn-Based Tactics', 'RPG']",['Single-player']
255070,Abyss Odyssey,ACE Team,SEGA,2014,10.99,62.3,2165,350000,"['Action', 'Adventure', 'Indie']","['Action', 'Platformer', 'Indie']","['Single-player', 'Co-op']"
255220,GRID Autosport,Codemasters Racing;Feral Interactive (Mac);Feral Interactive (Linux),Codemasters;Feral Interactive (Mac);Feral Interactive (Linux),2014,24.99,75.5,6579,750000,"['Racing', 'Sports']","['Racing', 'Sports', 'Simulation']","['Single-player', 'Multi-player', 'Cross-Platform Multiplayer']"
255260,Pro Cycling Manager 2014,Cyanide Studio,Focus Home Interactive,2014,6.99,65.8,240,35000,['Simulation'],"['Simulation', 'Sports', 'Cycling']","['Single-player', 'Multi-player']"
255280,1954 Alcatraz,Daedalic Entertainment;Irresponsible Games,Daedalic Entertainment,2014,6.99,72.9,954,150000,"['Adventure', 'Indie']","['Adventure', 'Point & Click', 'Indie']",['Single-player']
255300,Journey of a Roach,Koboldgames;Daedalic Entertainment,Daedalic Entertainment,2013,5.99,87.8,1164,150000,"['Adventure', 'Indie']","['Adventure', 'Point & Click', 'Indie']",['Single-player']
255320,Edna & Harvey: The Breakout,Daedalic Entertainment,Daedalic Entertainment,2013,11.99,82.6,929,350000,"['Adventure', 'Indie']","['Point & Click', 'Adventure', 'Indie']",[]
